,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL
148,Sr. Data Analyst: Operations Analytics,$104K - $122K (Employer est.),"In this role, you will own analyses and experimental design from beginning to end, including opportunity identification, problem scoping, analysis framing /……
Skills: Statistics, Power BI, Tableau, SQL, Analysis skills",4.1,Yum! Brands,"Plano, TX",10000+ Employees,1997,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-data-analyst-operations-analytics-yum-brands-JV_IC1140045_KO0,36_KE37,47.htm?jl=1009320734651"
149,People Analytics Consultant,$114K - $151K (Employer est.),"You will develop actionable recommendations and support your partners through implementation of these recommendations. This role is also eligible for bonus and.…
Skills: Statistics, Microsoft Excel, Qualitative research, Tableau, Statistical analysis",3.6,DocuSign,United States,5001 to 10000 Employees,2003,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/people-analytics-consultant-docusign-JV_KO0,27_KE28,36.htm?jl=1009379250407"
150,"Program Manager, Marketing Intelligence",$117K - $229K (Employer est.),"Bachelor's Degree in Computer Science, Engineering, Data Science, Math, Business, or related field AND 4+ years experience in engineering, product/technical……
Skills: Microsoft Powerpoint, Program management, Data modeling, Azure, Data analysis skills",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/program-manager-marketing-intelligence-microsoft-JV_IC1150499_KO0,38_KE39,48.htm?jl=1009377529334"
151,"Director, Data Science – Customer Engineering",$192K - $346K (Employer est.),"The CE team also partners closely with our Adobe Field teams (Pre-Sales, Consulting, and Support) Field and 3rd party partners to collect and synthesize real……
Skills: Data mining, Management, Big data, Software deployment, Spark",4.2,Adobe,"San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-data-science-customer-engineering-adobe-JV_IC1147401_KO0,42_KE43,48.htm?jl=1009341880574"
152,Director Data Science,$314K - $361K (Employer est.),"Proven experience influencing strategy and driving change across org boundaries through clear and compelling communication of data-driven insights and analyses.…
Skills: Machine learning, Analytics",4.0,Meta,"Burlingame, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-data-science-meta-JV_IC1147335_KO0,21_KE22,26.htm?jl=1009308427109"
153,Director Customer Data Science and Analytics,$98K - $156K (Glassdoor est.),"Develop customer analytics/behavior reports and answer customer analytics business questions leveraging our CDP and BigQuery (cross-functional).…
Skills: Microsoft Powerpoint, Microsoft Excel, R, SQL, Data analytics",3.4,Academy Sports,"Katy, TX",10000+ Employees,1938,Company - Public,Sporting Goods Stores,Retail & Wholesale,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/director-customer-data-science-and-analytics-academy-sports-JV_IC1140177_KO0,44_KE45,59.htm?jl=1009342539208"
154,ML Engineer,$115K - $173K (Glassdoor est.),"Our client is developing ground-breaking weather forecasting technology with the aim of providing fast and accurate climate data.…
Skills: TensorFlow, Statistics, Growing experience, Analysis skills, Machine learning",5.0,OnHires,"San Francisco, CA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/ml-engineer-onhires-JV_IC1147401_KO0,11_KE12,19.htm?jl=1009341006923"
155,"Lead Director, Data Science - AI",$100K - $288K (Employer est.),"This person will leverage their technical and product management expertise to develop and execute AI strategies, collaborate with cross-functional teams,……
Skills: Management, Product management, Mentoring, IT, Budgeting",3.1,CVS Health,"Chicago, IL",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/lead-director-data-science-ai-cvs-health-JV_IC1128808_KO0,29_KE30,40.htm?jl=1009380217653"
156,Sr Dir Data Science & ML,-1,"Develop innovative data science solutions that utilize the state-of-art machine learning algorithms and AI models to support digital product, sales and……
Skills: TensorFlow, Azure, Sales, Computer vision, Big data",3.6,Southern Glazer’s Wine and Spirits,Florida,10000+ Employees,1968,Company - Private,Wholesale,Retail & Wholesale,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-dir-data-science-ml-southern-glazer-s-wine-and-spirits-JV_KO0,22_KE23,57.htm?jl=1009366082656"
157,Director of Data Science & Analytics,$110K - $125K (Employer est.),"Additionally, you are someone that is inquisitive and have shown an ability to understand complex business models and develop relationships with partners or……
Skills: Power BI, Microsoft Excel, Business intelligence, Tableau, Accounting",3.8,Outten & Golden,United States,51 to 200 Employees,1998,Private Practice / Firm,Legal,Legal,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/director-of-data-science-analytics-outten-golden-JV_KO0,34_KE35,48.htm?jl=1009356988494"
158,"Manager, Data Science, Amazon Advertising",$142K - $272K (Employer est.),"Hire and develop top talent, provide technical and career development guidance to scientists and engineers in the organization.…
Skills: Computer science, Management, R, Machine learning, Natural language processing",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-data-science-amazon-advertising-amazon-com-services-llc-JV_IC1150505_KO0,39_KE40,63.htm?jl=1009369509938"
159,AI/ML Governance Analyst,$74K - $118K (Employer est.),"0-2 years of experience in related field. In lieu of degree, 2+ years of experience in related field. Ability to create own structure and work successfully in a……
Skills: Machine learning, Organizational skills, Business requirements, AI, Leadership",4.1,Blue Cross and Blue Shield of North Carolina,North Carolina,5001 to 10000 Employees,1933,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/ai-ml-governance-analyst-blue-cross-and-blue-shield-of-north-carolina-JV_KO0,24_KE25,69.htm?jl=1009310730792"
160,"Senior Manager, Engineering Quality",-1,"This role requires Python or data science fluency, as well as experience with front-end testing, building test automation frameworks, technical leadership, and……
Skills: Cloud infrastructure, Go, Management, DevOps, Test automation",4.9,RStudio,Remote,201 to 500 Employees,2013,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/senior-manager-engineering-quality-rstudio-JV_KO0,34_KE35,42.htm?jl=1009380896193"
161,"Data Science Manager, Analytics",$150K - $210K (Employer est.),"Bachelor's or Master's degree in Data Science, Statistics, Computer Science, or a related field. Discovered that you love driving product decisions by making……
Skills: Data mining, Management, R, Data analysis skills, SQL",3.9,Quizlet,"Denver, CO",201 to 500 Employees,2006,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-science-manager-analytics-quizlet-JV_IC1148170_KO0,30_KE31,38.htm?jl=1009251883542"
162,Sr ML engineers,-1,"Experience with state of the art machine learning framework like tensorflow, pytorch is strongly preferred. Understanding of engineering best practices.…
Skills: TensorFlow, Spark, Apache Hive, Machine learning, Python",4.5,Intellibee,Remote,1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/sr-ml-engineers-intellibee-JV_KO0,15_KE16,26.htm?jl=1009375709811"
163,"Sr Economist, Amazon Search, Search Data Science",$143K - $248K (Employer est.),"We spend time on evaluating experiments to develop durable learnings. Dependent on the position offered, equity, sign-on payments, and other forms of……
Skills: R, Stata, Python, Analytics",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-economist-amazon-search-search-data-science-amazon-com-services-llc-JV_IC1150505_KO0,46_KE47,70.htm?jl=1009347905304"
164,Director of Analytics,$180K - $225K (Employer est.),"Alo is looking for a Director of Analytics to own and optimize data governance across our digital commerce platforms, driving robust web & mobile app……
Skills: Google Tag Manager, E-commerce, Tableau, SQL, Analysis skills",3.1,Alo Yoga,"Beverly Hills, CA",501 to 1000 Employees,2007,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/director-of-analytics-alo-yoga-JV_IC1146753_KO0,21_KE22,30.htm?jl=1009358251802"
165,Senior Data Scientist,$141K - $263K (Employer est.),"Hold a bachelor’s degree (or its equivalent) in computer-science/information-theory/language-technologies or a related field is required, and a Master or PhD is……
Skills: Management, Big data, Spark, R, Project coordination",3.3,Fortive,"Seattle, WA",10000+ Employees,2016,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/senior-data-scientist-fortive-JV_IC1150505_KO0,21_KE22,29.htm?jl=1009377856103"
166,Senior Data Scientist,$101K - $135K (Employer est.),"4+ years of relevant experience in data science, quantitative analysis, statistical forecasting, market analysis, change-point detection, or a related field.…
Skills: Google Cloud Platform, AWS, Analysis skills, Machine learning, Forecasting",3.3,DTN,Remote,1001 to 5000 Employees,1984,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-data-scientist-dtn-JV_KO0,21_KE22,25.htm?jl=1009289001026"
167,Data Scientist - Services Finance Data Science and Engineering,$136K - $206K (Employer est.),"Strong written and verbal communication skills, capable of explaining technical results to a non-technical audience. Masters or PhD degree preferred.…
Skills: CI/CD, Kubernetes, D3.js, Spark, R",4.1,Apple,"Cupertino, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-services-finance-data-science-and-engineering-apple-JV_IC1147422_KO0,60_KE61,66.htm?jl=1009343904425"
168,"Director, Business Intelligence Analytics",$170K - $200K (Employer est.),"Collaborate with audience development and brand stakeholders to develop and execute data-driven analysis across all content distribution platforms, including……
Skills: SQL, AWS, Analysis skills, Data science, Leadership",3.2,"International Data Group, Inc.","Needham, MA",1001 to 5000 Employees,1964,Company - Private,Publishing,Media & Communication,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/director-business-intelligence-analytics-international-data-group-inc-JV_IC1154631_KO0,40_KE41,69.htm?jl=1009379616089"
169,Principal Data Scientist,$150K - $200K (Employer est.),"Proficiency in programming languages and tools such as Python, SQL, and relevant data science libraries and frameworks.…
Skills: Azure, Big data, Spark, SQL, AWS",3.9,andros.co,Remote,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/principal-data-scientist-andros-co-JV_KO0,24_KE25,34.htm?jl=1009360278115"
170,"Senior Data Scientist, 5+ Years of Experience",$184K - $276K (Employer est.),"5+ years of experience in quantitative analysis & data science or a related field. BS/BA degree in statistics, mathematics, economics, computer science,……
Skills: Computer science, Data modeling, Data mining, Social media management, Big data",3.5,Snapchat,"Los Angeles, CA",5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-data-scientist-5-years-of-experience-snapchat-JV_IC1146821_KO0,43_KE44,52.htm?jl=1009376081577"
